distribution,nu,alloc_index,n1,n2,rho,rep,L0,L_dense,L_RBPB,m_dense,m_rbpb,eps_hat,tau,zero,sentinel,sentinel_falling,mcse_at_pick,cond_source,cond_target,runtime_s,B,boot_seed,n_warnings,failure
t5,5.0,0,48,192,0.25,44,0.609754047922396,0.6625799241348275,0.6075974433108029,31.0,18.0,0.35297419040043754,0.019609677244468753,False,False,False,0.0046252149997038465,4.37251824163886,3.770608075049699,0.006404749990906566,250,"(20260922, 1, 0, 0, 44)",0,
t5,5.0,0,48,192,0.25,45,0.49353721781508003,0.5215187707070615,0.47170889567756275,31.0,18.0,0.33997590081061935,0.01888755004503441,False,False,False,0.005204548272617205,11.444489323132549,6.223751654425048,0.006270750018302351,250,"(20260922, 1, 0, 0, 45)",0,
t5,5.0,0,48,192,0.25,46,0.5426781952082038,0.44213334762179785,0.44078187733964713,31.0,16.0,0.29196794427487127,0.018247996517179454,False,False,False,0.004463604165390375,5.560350904215192,5.606066192243218,0.006247624987736344,250,"(20260922, 1, 0, 0, 46)",0,
t5,5.0,0,48,192,0.25,47,0.8843162295232747,0.5779310494037382,0.6464325370224369,31.0,18.0,0.30604762434553434,0.01700264579697413,False,False,False,0.005620556124026081,5.813933852254626,6.7461321311025975,0.006303916044998914,250,"(20260922, 1, 0, 0, 47)",0,
t5,5.0,0,48,192,0.25,48,0.22005297334588764,0.18501728097358558,0.15273667378182476,31.0,18.0,0.34079884032437774,0.018933268906909873,False,False,False,0.006205583475938539,5.424366871745033,5.092354868626382,0.006268959026783705,250,"(20260922, 1, 0, 0, 48)",0,
t5,5.0,0,48,192,0.25,49,0.7914670758174298,0.543451626067401,0.5876885041326855,31.0,18.0,0.33253684837086656,0.01847426935393703,False,False,False,0.005538266995279077,8.126942181009692,5.144691087676365,0.006289208016823977,250,"(20260922, 1, 0, 0, 49)",0,
t5,5.0,0,48,192,0.25,50,0.3756119175457435,0.3666976520840546,0.3294810065076025,31.0,18.0,0.35422282890345236,0.019679046050191797,False,False,False,0.005580011916207637,4.739305337866444,3.965724607776952,0.006251999991945922,250,"(20260922, 1, 0, 0, 50)",0,
t5,5.0,0,48,192,0.25,51,0.5916321636382326,0.4662661760288294,0.4693460983444909,31.0,18.0,0.3561438501720497,0.01978576945400276,False,False,False,0.006062341891789053,9.571159376342901,5.0500191921617095,0.0062814580160193145,250,"(20260922, 1, 0, 0, 51)",0,
t5,5.0,0,48,192,0.25,52,0.4923516218555921,0.3403756100404999,0.3501123356157193,31.0,18.0,0.310623412071162,0.017256856226175666,False,False,False,0.0054635643683192195,13.37586382496761,8.014664162461537,0.006266582990065217,250,"(20260922, 1, 0, 0, 52)",0,
t5,5.0,0,48,192,0.25,53,0.30897544310952296,0.3399682333640852,0.28740691431746856,31.0,18.0,0.31840107495079034,0.01768894860837724,False,False,False,0.004892105503313274,9.341512222295568,4.3150200129062695,0.006264208990614861,250,"(20260922, 1, 0, 0, 53)",0,
t5,5.0,0,48,192,0.25,54,0.36414758685711424,0.5069538350223142,0.417064471287785,31.0,18.0,0.39930189165347296,0.022183438425192943,False,False,False,0.00521232107843595,5.103237477823638,4.628012414676968,0.0062752499943599105,250,"(20260922, 1, 0, 0, 54)",0,
t5,5.0,0,48,192,0.25,55,0.5490583284622317,0.43062965087150595,0.43028522914057643,31.0,18.0,0.38630239007275724,0.021461243892930956,False,False,False,0.006140155949300913,5.230707938817514,3.958487057345494,0.0062868749955669045,250,"(20260922, 1, 0, 0, 55)",0,
t5,5.0,0,48,192,0.25,56,0.8968807235863404,0.5662488375902673,0.6412457595487117,31.0,18.0,0.3769343976747991,0.02094079987082217,False,False,False,0.006143819245190882,8.144770084524016,4.816306011350689,0.006239333015400916,250,"(20260922, 1, 0, 0, 56)",0,
t5,5.0,0,48,192,0.25,57,0.42337551562394077,0.3845630207859044,0.3572089702570558,31.0,18.0,0.3221732923721087,0.017898516242894926,False,False,False,0.005402019645415892,8.688696236936071,4.604706508806056,0.006246124976314604,250,"(20260922, 1, 0, 0, 57)",0,
t5,5.0,0,48,192,0.25,58,1.0582191171495845,0.5407700407842683,0.6758395330384508,31.0,18.0,0.3411081261888957,0.01895045145493865,False,False,False,0.006182558731889514,6.118736900535707,3.99906534860097,0.006256250024307519,250,"(20260922, 1, 0, 0, 58)",0,
