cell,rep,B,pick,ref_pick,agree,regret,regret_pos,regret_se,zero,top
P0,11,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,11,4000,6.0,5.0,False,0.0003340010502994024,0.0003340010502994024,0.00038116734486409157,False,False
P0,11,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,12,250,4.0,5.0,False,0.00037377057943986826,0.00037377057943986826,0.00038290925574829344,False,False
P0,12,500,4.0,5.0,False,0.00037377057943986826,0.00037377057943986826,0.00038290925574829344,False,False
P0,12,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,12,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,12,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,12,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,13,250,6.0,5.0,False,0.000906619519143676,0.000906619519143676,0.0003773464155009838,False,False
P0,13,500,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,13,1000,4.0,5.0,False,0.0007693229291401725,0.0007693229291401725,0.0003833195074312288,False,False
P0,13,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,13,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,13,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,14,250,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,14,500,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,14,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,14,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,14,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,14,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,15,250,4.0,5.0,False,0.0013755472059470979,0.0013755472059470979,0.0003864934621378409,False,False
P0,15,500,4.0,5.0,False,0.0013755472059470979,0.0013755472059470979,0.0003864934621378409,False,False
P0,15,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,15,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,15,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,15,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,16,250,6.0,5.0,False,0.001311900174620864,0.001311900174620864,0.00038003887699116266,False,False
P0,16,500,6.0,5.0,False,0.001311900174620864,0.001311900174620864,0.00038003887699116266,False,False
P0,16,1000,4.0,5.0,False,0.0003363636100216197,0.0003363636100216197,0.00038601212189448173,False,False
P0,16,2000,4.0,5.0,False,0.0003363636100216197,0.0003363636100216197,0.00038601212189448173,False,False
P0,16,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,16,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,17,250,4.0,5.0,False,0.0010069267701910975,0.0010069267701910975,0.00038260009257475453,False,False
P0,17,500,4.0,5.0,False,0.0010069267701910975,0.0010069267701910975,0.00038260009257475453,False,False
P0,17,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,17,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,17,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,17,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,18,250,6.0,5.0,False,0.001081231932675571,0.001081231932675571,0.0003778537372551552,False,False
P0,18,500,6.0,5.0,False,0.001081231932675571,0.001081231932675571,0.0003778537372551552,False,False
P0,18,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,18,2000,6.0,5.0,False,0.001081231932675571,0.001081231932675571,0.0003778537372551552,False,False
P0,18,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,18,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,19,250,6.0,5.0,False,0.0009750375259116712,0.0009750375259116712,0.0003780040442401655,False,False
P0,19,500,6.0,5.0,False,0.0009750375259116712,0.0009750375259116712,0.0003780040442401655,False,False
P0,19,1000,6.0,5.0,False,0.0009750375259116712,0.0009750375259116712,0.0003780040442401655,False,False
P0,19,2000,6.0,5.0,False,0.0009750375259116712,0.0009750375259116712,0.0003780040442401655,False,False
P0,19,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,19,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,20,250,6.0,5.0,False,0.0008601270909234834,0.0008601270909234834,0.00037754999036607607,False,False
P0,20,500,7.0,5.0,False,0.003369523051283168,0.003369523051283168,0.0007493000366788792,False,False
P0,20,1000,7.0,5.0,False,0.003369523051283168,0.003369523051283168,0.0007493000366788792,False,False
P0,20,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,20,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,20,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,21,250,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,21,500,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,21,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,21,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,21,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,21,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,22,250,1.0,5.0,False,0.011138601112014626,0.011138601112014626,0.0015642248949699533,False,False
P0,22,500,2.0,5.0,False,0.00574100842611504,0.00574100842611504,0.0011639777134186584,False,False
P0,22,1000,4.0,5.0,False,0.00019885322197446642,0.00019885322197446642,0.0003819616923895935,False,False
P0,22,2000,4.0,5.0,False,0.00019885322197446642,0.00019885322197446642,0.0003819616923895935,False,False
P0,22,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,22,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,23,250,7.0,5.0,False,0.002115546786329239,0.002115546786329239,0.0007552875802932404,False,False
P0,23,500,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,23,1000,4.0,5.0,False,0.001432952129120817,0.001432952129120817,0.00038671401879910856,False,False
P0,23,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,23,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,23,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,24,250,7.0,5.0,False,0.0041202843550795605,0.0041202843550795605,0.0007510394981005032,False,False
P0,24,500,6.0,5.0,False,0.0012436138700727822,0.0012436138700727822,0.0003784485335877408,False,False
P0,24,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,24,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,24,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,24,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,25,250,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,25,500,6.0,5.0,False,0.0014706038209091063,0.0014706038209091063,0.0003749681766609393,False,False
P0,25,1000,6.0,5.0,False,0.0014706038209091063,0.0014706038209091063,0.0003749681766609393,False,False
P0,25,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,25,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,25,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
