cell,rep,base_pick,ref_pick,regret,regret_pos,regret_se,falling_24_32
P2,18,10.0,10.0,0.0,0.0,0.0,False
P2,19,11.0,11.0,0.0,0.0,0.0,False
P2,20,11.0,10.5,0.0001232552236482544,0.0001232552236482544,6.907562773056276e-05,False
P2,21,10.0,10.5,0.0001743529017506617,0.0001743529017506617,7.109190098936686e-05,False
P2,22,11.0,10.5,0.0001857815510820552,0.0001857815510820552,7.74835757994946e-05,False
P2,23,11.0,11.0,0.0,0.0,0.0,False
P2,24,11.0,11.0,0.0,0.0,0.0,False
P2,25,11.0,10.5,0.00015727367013342313,0.00015727367013342313,7.135470704121812e-05,False
P2,26,10.0,10.5,0.0001612985264784602,0.0001612985264784602,7.393142064324496e-05,False
P2,27,11.0,11.0,0.0,0.0,0.0,False
P2,28,11.0,11.0,0.0,0.0,0.0,False
P2,29,10.0,10.0,0.0,0.0,0.0,False
P3,0,16.0,18.0,0.0019373719708282117,0.0019373719708282117,0.0003249200983146093,False
P3,1,16.0,18.0,0.001583539122435398,0.001583539122435398,0.00032779087746759756,False
P3,2,16.0,18.0,0.0019374347874669487,0.0019374347874669487,0.0003295316760490125,False
P3,3,16.0,18.0,0.002789609244194911,0.002789609244194911,0.0003088090465405413,False
P3,4,16.0,18.0,0.002523797084557701,0.002523797084557701,0.00031841186591080025,False
P3,5,16.0,18.0,0.002522706374006853,0.002522706374006853,0.00031429011031978825,False
P3,6,16.0,18.0,0.0022995569693380906,0.0022995569693380906,0.00031654228803821904,False
P3,7,16.0,18.0,0.002254167198459579,0.002254167198459579,0.0002966384508715708,False
P3,8,16.0,18.0,0.002651998766167171,0.002651998766167171,0.00032005139952402635,False
P3,9,16.0,18.0,0.002543911991875393,0.002543911991875393,0.000310130591585208,False
P3,10,16.0,18.0,0.002974079105907913,0.002974079105907913,0.00032241430645580895,False
P3,11,16.0,18.0,0.003294462135136963,0.003294462135136963,0.0002754680388113098,False
P3,12,16.0,18.0,0.002205876747552437,0.002205876747552437,0.0003230257343973619,False
P3,13,16.0,18.0,0.002588796745242275,0.002588796745242275,0.0003098343179561376,False
P3,14,16.0,18.0,0.0015159552658810533,0.0015159552658810533,0.0003376335400887569,False
P3,15,16.0,18.0,0.0020137262129900323,0.0020137262129900323,0.0003197829282339394,False
P3,16,16.0,18.0,0.0027541538419296402,0.0027541538419296402,0.00030282272308082184,False
P3,17,16.0,18.0,0.002474754538669027,0.002474754538669027,0.0003187863945590199,False
P3,18,16.0,18.0,0.0014772983683221295,0.0014772983683221295,0.00032978129074193776,False
P3,19,16.0,18.0,0.0019101016481961979,0.0019101016481961979,0.0003380990402588559,False
P3,20,16.0,18.0,0.002247506658503143,0.002247506658503143,0.0003165821188216874,False
P3,21,16.0,18.0,0.0025145930782394664,0.0025145930782394664,0.00032034676778030683,False
P3,22,16.0,18.0,0.0033232465139059787,0.0033232465139059787,0.00030623391084153375,False
P3,23,16.0,18.0,0.0020283758712015504,0.0020283758712015504,0.00031235400868693543,False
P3,24,16.0,18.0,0.00262586962823351,0.00262586962823351,0.0003210227680396042,False
P3,25,16.0,18.0,0.002520658030756663,0.002520658030756663,0.000319028048967783,False
P3,26,16.0,18.0,0.0027767433196454008,0.0027767433196454008,0.0003604550168811658,False
P3,27,16.0,18.0,0.0021842908403167855,0.0021842908403167855,0.0003126408857697885,False
P3,28,16.0,18.0,0.002427347832259579,0.002427347832259579,0.00030022527864436815,False
P3,29,16.0,20.0,0.0012808535771284188,0.0012808535771284188,0.0006211076089659708,False
P4,0,0.0,0.0,0.0,0.0,0.0,False
P4,1,0.0,0.0,0.0,0.0,0.0,False
P4,2,0.0,0.0,0.0,0.0,0.0,False
P4,3,0.0,0.0,0.0,0.0,0.0,False
P4,4,0.0,0.0,0.0,0.0,0.0,False
P4,5,0.0,0.0,0.0,0.0,0.0,False
P4,6,0.0,0.0,0.0,0.0,0.0,False
P4,7,0.0,0.0,0.0,0.0,0.0,False
P4,8,0.0,0.0,0.0,0.0,0.0,False
P4,9,0.0,0.0,0.0,0.0,0.0,False
P4,10,0.0,0.0,0.0,0.0,0.0,False
P4,11,0.0,0.0,0.0,0.0,0.0,False
P4,12,0.0,0.0,0.0,0.0,0.0,False
P4,13,0.0,0.0,0.0,0.0,0.0,False
P4,14,0.0,0.0,0.0,0.0,0.0,False
P4,15,0.0,0.0,0.0,0.0,0.0,False
P4,16,0.0,0.0,0.0,0.0,0.0,False
P4,17,0.0,0.0,0.0,0.0,0.0,False
P4,18,0.0,0.0,0.0,0.0,0.0,False
P4,19,0.0,0.0,0.0,0.0,0.0,False
P4,20,0.0,0.0,0.0,0.0,0.0,False
P4,21,0.0,0.0,0.0,0.0,0.0,False
P4,22,0.0,0.0,0.0,0.0,0.0,False
P4,23,0.0,0.0,0.0,0.0,0.0,False
P4,24,0.0,0.0,0.0,0.0,0.0,False
P4,25,0.0,0.0,0.0,0.0,0.0,False
P4,26,0.0,0.0,0.0,0.0,0.0,False
P4,27,0.0,0.0,0.0,0.0,0.0,False
P4,28,0.0,0.0,0.0,0.0,0.0,False
P4,29,0.0,0.0,0.0,0.0,0.0,False
P5,0,16.0,18.0,3.794846971212058e-05,3.794846971212058e-05,6.381598359190638e-05,False
P5,1,16.0,18.0,0.00012004859292689926,0.00012004859292689926,6.584200751031793e-05,False
P5,2,16.0,18.0,5.278075484960468e-06,5.278075484960468e-06,6.868006288695342e-05,False
P5,3,16.0,16.0,0.0,0.0,0.0,False
P5,4,16.0,16.0,0.0,0.0,0.0,False
P5,5,16.0,16.0,0.0,0.0,0.0,False
P5,6,16.0,18.0,0.00014820535565881812,0.00014820535565881812,6.072862235320728e-05,False
P5,7,16.0,18.0,8.012526910670724e-05,8.012526910670724e-05,6.540561993537014e-05,False
